word,n,count
ちゃん,268,4110
ありがとう,36,3048
ワン,115,2614
可愛い,21,2073
かわいい,25,1739
みたい,36,1580
今日,47,1500
新型,17,1481
ゼロワン,5,1477
サウザー,9,1281
仮面ライダー,10,1228
天津,48,1220
社長,35,1186
ロボット,33,1110
可愛,30,1004
欲しい,23,996
www,10,960
みんな,5,824
一緒,27,795
名前,38,780
お願い,15,774
自分,14,740
ww,7,738
ママ,40,737
すごい,8,736
変身,2,692
くらい,13,689
楽しみ,2,675
なんか,2,671
飛電,8,660
ちゃう,13,651
ソニー,2,647
誕生,98,643
おめでとう,2,610
写真,20,606
すぎる,3,590
登場,14,589
嬉しい,8,585
時間,8,570
ai,17,549
じゃん,6,548
素敵,6,544
くれる,14,540
初代,5,529
出演,1,514
人間,7,499
ゼア,9,495
仕事,15,489
遊戯,34,481
相棒,18,480
最新,2,480
アイ,24,471
出来,5,458
明日,9,450
コラボ,10,441
sony,5,440
マジ,7,438
友達,11,435
動画,14,428
ほしい,9,424
らしい,7,419
めちゃくちゃ,2,419
ペット,6,413
世界,8,398
イズ,7,384
オーナー,14,373
しまう,13,368
アーク,7,360
旧型,3,351
昨日,1,349
元気,4,344
来週,1,340
以上,3,331
大丈夫,3,330
コロナ,1,330
今回,3,325
気持ち,4,313
ライダー,3,309
おはよう,2,308
飼い主,5,306
無理,8,305
特別,25,300
思い出,2,299
楽しい,2,299
今週,2,295
大好き,2,295
子供,2,292
参加,8,289
ダメ,8,286
最後,5,286
ラジオ,48,284
最高,3,283
体操,45,281
絶対,1,281
シーン,9,278
いただき,10,277
存在,1,276
キャラ,7,274
アプリ,8,271
限定,4,267
東京,11,266
機能,3,265
全国,27,263
gt,7,261
医師,15,260
発売,4,259
ボク,9,253
トレンド,5,251
初期,5,246
過去,10,244
キャスト,2,244
募集,2,242
日本,2,242
ニュース,2,241
たくさん,1,241
わたし,2,240
我が家,1,240
ーー,2,239
応募,1,238
関係,7,236
設定,3,234
ツイート,1,233
デザイン,2,229
開発,5,227
部屋,4,227
大変,3,227
配信,2,226
改心,1,226
ギア,22,225
ぐらい,4,223
期間,4,223
意味,3,223
面白い,1,220
進化,4,218
相手,4,216
結果,5,214
予定,2,214
ハッピー,1,213
ゲーム,9,212
っぽい,2,212
販売,6,211
ガチャ,4,210
どっち,2,209
展開,2,209
テレビ,1,209
ファン,8,208
会長,3,207
全部,1,207
王様,3,206
活躍,3,205
ヒューマ,21,203
大事,7,202
わかる,5,200
人工,14,199
情報,5,199
公式,1,198
知能,14,196
美味しい,2,194
放送,23,193
今年,2,192
っていう,1,192
amo,8,191
必要,2,188
購入,4,186
記念,2,185
上手,1,182
セット,4,179
こっち,2,179
修理,1,179
オフ,35,178
お迎え,3,176
びっくり,2,176
面白,1,176
感染,7,175
ボー,4,175
問題,3,174
撮影,4,172
パン,9,171
値段,6,171
リアル,5,171
浴衣,4,167
仲間,2,167
応援,3,166
プレゼント,1,166
インテリジェンス,5,164
本物,2,163
以外,1,163
lt,6,161
合わせ,1,161
ケーキ,4,160
入院,2,159
動物,2,159
笑笑,3,158
心配,2,158
フィギュア,3,157
by,1,156
抱っこ,12,155
プラン,8,155
場所,2,155
colon,2,153
確認,3,152
搭載,2,152
皆さん,2,152
追加,1,152
生活,4,150
lovot,3,150
ネタ,3,150
サポート,1,150
クッキー,14,149
ウチ,3,149
ムシムシ,1,149
ホント,1,148
反応,3,146
フォロー,2,146
アイス,1,146
パパ,5,145
販促,2,145
カード,6,144
記憶,1,144
難しい,1,144
ペッパー,10,143
イメージ,1,143
ブラック,1,143
期待,1,143
首輪,2,142
状態,1,142
先輩,4,141
気分,2,141
会見,16,140
会社,3,140
実家,3,140
感情,6,139
言葉,4,139
ごめん,3,139
世代,2,139
レベル,2,137
出迎え,5,136
場合,4,135
マスク,3,135
パンツ,5,134
ロボホン,3,134
画像,2,134
演技,1,134
スマ,5,133
twitter,2,133
城之内,5,131
勝手,12,130
技術,2,130
仕方,1,130
充電,4,129
ぬいぐるみ,3,129
やばい,3,129
かっこいい,2,129
番組,2,129
味方,5,128
映画,4,128
モデル,5,127
かしら,3,127
やすい,3,126
タイプ,2,125
開始,2,125
帽子,5,124
開催,5,124
感動,3,124
スライディング,2,124
前日,29,123
シャン,5,123
ダンス,4,123
理由,2,123
アッ,38,122
グッズ,1,122
機械,3,121
見える,1,120
視聴,4,119
病院,2,118
名古屋,1,118
企業,3,117
aiko,1,117
無事,1,117
謝罪,1,117
プレミアム,5,116
ごはん,4,116
未来,2,116
どちら,1,116
不破,12,115
先生,3,115
息子,2,115
作品,1,115
週間,1,115
ｱﾞ,18,114
唐突,6,114
笑顔,3,114
ビックリ,2,113
ブログ,2,113
待機,1,113
