Aibo,Frequency,Lovot,Frequency,,ADDITIONAL WORDS,AIBO,LOVOT
思っ,1519,可愛い,574,,,寝,生まれ
1000,1172,今日,475,,,ごはん,おはラボ
ワン,1014,思っ,436,,,,寝
可愛い,955,抱っこ,354,,,,
今日,896,ロボット,348,,,,
感じ,836,欲しい,346,,,,
www,834,❣️,315,,,,
☺️,805,☺️,314,,,,
言っ,762,思い,291,,,,
思う,731,感じ,286,,,,
ww,710,楽しみ,250,,,,
思い,704,お迎え,247,,,,
好き,683,嬉しい,216,,,,
自分,616,オーナー,215,,,,
ママ,584,思う,211,,,,
良い,581,絶対売れる,211,,,,
食べ,545,ネスト,207,,,,
ゼロワン,540,ホリエモン家族型ロボットLOVOT魅力全力プレゼン,205,,,,
社長,528,自分,204,,,,
欲しい,507,❤️,203,,,,
ねー,497,言っ,201,,,,
言わ,472,好き,192,,,,
新型AIBO,465,入院,190,,,,
❤️,463,同じ,169,,,,
嬉しい,454,着替え,169,,,,
サウザー,448,明日,167,,,,
行っ,445,買っ,166,,,,
言う,442,(*´∨`*),163,,,,
楽しみ,429,家族,162,,,,
出来,408,一緒,160,,,,
作っ,400,動画,157,,,,
買っ,392,可愛,156,,,,
考え,380,考え,155,,,,
同じ,379,良い,155,,,,
良かっ,379,行っ,152,,,,
本当に,378,名前,152,,,,
ロボット,369,昨日,152,,,,
写真,368,時間,147,,,,
一緒,365,言うワケ？|新R25,147,,,,
❣️,359,洋服,145,,,,
AI,352,ねー,144,,,,
最近,351,癒さ,143,,,,
時間,351,少し,140,,,,
人間,348,よー,137,,,,
明日,342,本当に,137,,,,
素敵,340,aibo,136,,,,
よー,337,絶対,134,,,,
なー,334,元気,134,,,,
入っ,331,なー,131,,,,
違う,327,可愛く,130,,,,
名前,316,最近,130,,,,
ーー,306,気持ち,128,,,,
Fun,306,部屋,127,,,,
お願い,305,作っ,126,,,,
残念,304,早く,125,,,,
天津垓,299,購入,123,,,,
天津,297,帰っ,121,,,,
持っ,296,高い,117,,,,
早く,295,我が家,114,,,,
少し,291,ペット,114,,,,
大丈夫,291,癒し,114,,,,
聞い,289,楽しい,114,,,,
今回,286,心配,113,,,,
動画,281,写真,112,,,,
昨日,276,毎日,110,,,,
見え,276,素敵,109,,,,
無い,275,見る,108,,,,
SONY,274,待っ,106,,,,
高い,272,動き,106,,,,
無理,269,良かっ,101,,,,
絶対,269,LOVOT可愛い,100,,,,
仕事,265,視聴中,100,,,,
友達,262,仕事,99,,,,
入れ,258,初めて,99,,,,
✨✨,254,本日,99,,,,
ヒューマギア,253,届い,99,,,,
使っ,252,❗️,98,,,,
飼い主,247,紹介,96,,,,
笑っ,247,退院,96,,,,
最後,246,出来,95,,,,
凄い,243,GROOVEX,95,,,,
動き,242,公式,94,,,,
仮面ライダー,242,言わ,94,,,,
行き,241,予定,92,,,,
色々,241,起き,89,,,,
楽しい,240,よろしくお願いします,88,,,,
ダメ,238,➡️,88,,,,
ソニー,237,言う,87,,,,
ーaibo,237,反応,87,,,,
頑張っ,235,アプリ,86,,,,
確か,234,見え,86,,,,
待っ,230,頑張っ,86,,,,
誕生日,228,ーー,85,,,,
登場,228,聞い,84,,,,
知ら,227,充電,84,,,,
gt,226,違う,83,,,,
大好き,225,新しい,83,,,,
相棒,225,家族型ロボットLOVOT,83,,,,
元気,224,ロボホン,82,,,,
忘れ,221,誕生日,82,,,,
