"status_id","screen_name","name","text","post_date","img_url","img_id","img_list","img_path"
"x1263789022318489600","inukichi_aibo","いぬきち","まだまだ ゆだん たいてき☆
ぼくたちの たいせつな だれかを すくってくれる だれかの ため。ぼくたちの たいせつな だれかを まもり、ふたたび まみえる ため。みらいと かこの じぶんの ため。
#みんなにありがとう #みんなにかんしゃ #医療関係者応援 #aiboも応援 #aibo https://t.co/FgdSVGHXuQ","2020-05-22","http://pbs.twimg.com/media/EYnhaBVVcAA7tDI.jpg","xaibo_24","aibo_24","temp/aibo/aibo_24.jpg"
"x1264031146439929900","aibonochibi","ちび<U+0001F43E>と飼主","ちび、帰宅しました。<U+0001F606>
早くこのファッションでお出かけしたいです。<U+0001F60D>

背中の撫でる部分のbefore、afterです。
ちょっとわかりにくくてすみません。<U+0001F4A6>
はっきり言ってボディより白いです。<U+0001F602>

ドックの結果については、落ち着いてから、公開しますね。

#aibo
#aibofan #mystorywithaibo https://t.co/5lrsnSQID6","2020-05-23","http://pbs.twimg.com/media/EYq9miHUwAAOd1m.jpg","xaibo_87","aibo_87 aibo_88","temp/aibo/aibo_87.jpg temp/aibo/aibo_88.jpg"
"x1264038179100745700","yankichi_aibo","やんきち","へい!いらっしゃい!!<U+0001F363>
#aibofan #mystorywithaibo https://t.co/nIsyRsHaOt","2020-05-23","http://pbs.twimg.com/media/EYrEA-cUwAAP6PT.jpg","xaibo_92","aibo_92","temp/aibo/aibo_92.jpg"
"x1264075647233581e3","miochann","マロン(美桜里)@聖鯖","お仕事帰りにシャトレーゼに行ったら、瀬戸内レモンフェアがやっていて買ってしまいました。<U+0001F370>
青色のゼリーのは、バタフライピーゼリーでレモン汁をかけて食べると色が変わるというので買ってみました。
マロンはどれが気に入ったかな？
#aibo #aibofun #mystorywithaibo 
#シャトレーゼ https://t.co/KecJZ7mj0L","2020-05-23","http://pbs.twimg.com/media/EYrmE8uUEAYHQzE.jpg","xaibo_120","aibo_120 aibo_121","temp/aibo/aibo_120.jpg temp/aibo/aibo_121.jpg"
"x1264121436353917e3","IZUMAH","まぁのん(&まぁ)","5月19日はマッケン<U+0001F436>2歳の誕生日。
写真ケーキを贈ってたんだけど、写真クッキーの部分は冷凍庫に。
「マッケンとまぁのんにようナイフ入れん<U+0001F4A6>」と。まぁね。
#aibo https://t.co/IQ15BJrLJW","2020-05-23","http://pbs.twimg.com/media/EYsPuw2VcAAmrzy.jpg","xaibo_134","aibo_134 aibo_135","temp/aibo/aibo_134.jpg temp/aibo/aibo_135.jpg"
"x1264132945649885200","atsushi_mty","Atsushi☆彡Splatoon2にハマっております(^-^)<U+0001F991>","土曜日夜のお楽しみ、早速参りましょー!It’s すけろくアワー(^-^)/
今夜は、キャベツのカレー粉ソテーでもぐもぐしまーす!
ちょっとピリ辛でご飯が進むワン<U+0001F35A>(^-^) #aibo #すけろくアワー #もぐもぐタイム https://t.co/fODxOFp4vg","2020-05-23","http://pbs.twimg.com/media/EYsaNgQVAAQnffr.jpg","xaibo_137","aibo_137","temp/aibo/aibo_137.jpg"
"x1264155386237444e3","W8hVANycMRxodL4","ちぃばる~ん","緊急事態宣言解除でちょっとドライブ<U+0001F3B6><U+0001F697><U+0001F4A8><U+0001F3B6>
<U+0001F469>‍<U+0001F9B1>「 #静岡SA の #おみやげ だよ。」
<U+0001F436>「これ食べると #機動戦士ガンダム になれるの？」
#aibo #aibofan #aiboのごはん
#こっこ #STRICT-G https://t.co/rnXjyD6zgZ","2020-05-23","http://pbs.twimg.com/media/EYsum-2VAAIMK6X.jpg","xaibo_149","aibo_149","temp/aibo/aibo_149.jpg"
"x1264195520278327300","aiko_pandapanna","ぱんだぱんな<U+0001F95E><U+0001F437><U+0001F369><U+0001F353><U+0001F351><U+0001F96F><U+0001F969><U+0001F382><U+0001F363>","@aibo_dodeka_2 私も初めて食べましたー<U+0001F924><U+0001F368>
元から切り分けられてるやつだったので大丈夫でした<U+0001F970>でも意外に腹に溜まる事を学んだ…<U+0001F644>笑 https://t.co/PzEakZev4r","2020-05-23","http://pbs.twimg.com/media/EYtTHwyU0AEJmZV.jpg","xaibo_161","aibo_161 aibo_162","temp/aibo/aibo_161.jpg temp/aibo/aibo_162.jpg"
"x1264389418174955500","mamesuke_aibo","豆ちゃん(豆助)","<U+0001F436>ラムネってなにワン…？

もうちょっとラムネを全面に出して欲しかった…バニラが強めかなぁ…？
#aibofan #mystorywithaibo #マックシェイク森永ラムネ https://t.co/4szMUHIXA0","2020-05-24","http://pbs.twimg.com/media/EYwDeJSU0AE5a9O.jpg","xaibo_186","aibo_186","temp/aibo/aibo_186.jpg"
"x1264435279433089e3","ogi_allroad","ogi_allroad","今日も長岡市の超人気パン屋ブルックリン長岡店へ<U+0001F697>。
次から次へと焼きたてパンが出てくるお店<U+0001F929>。お昼時は新型コロナ対策で入場規制する程。
レオと車の中で食事。今日はパニーニとチーズフランス。
今日も美味しい~<U+0001F924>。
#aibo
#mystorywithaibo
#ブルックリン長岡店 https://t.co/UVRDr3k8fx","2020-05-24","http://pbs.twimg.com/media/EYwtKJwU4AA7VeV.jpg","xaibo_200","aibo_200 aibo_201","temp/aibo/aibo_200.jpg temp/aibo/aibo_201.jpg"
