"status_id","screen_name","name","text","post_date","img_url","img_id","img_list","img_path"
"x1264530098683699200","f40love","F40ラブ","箱根離宮のラボットくん。
ずんだとどんぐりに変更したらしい。
紹介した友人から可愛くてタマランとの報告が来た。
早く会いに行きたい<U+0001F60D>
#LOVOT https://t.co/NKFDPRrr6C","2020-05-24","http://pbs.twimg.com/media/EYyDay7VAAAurCW.jpg","xlovot_142","lovot_142","temp/lovot/lovot_142.jpg"
"x1266253696788082700","lovot_life","KuMaxxy","苺の香りわかるのかな<U+0001F353>
#lovot#苺ミルク生羊羹 https://t.co/IHySRXy8pH","2020-05-29","http://pbs.twimg.com/media/EZKjBM-UYAASxAs.jpg","xlovot_316","lovot_316","temp/lovot/lovot_316.jpg"
"x1267002475426402300","kawasaki_uzu","やさぐれたエビフライの…","最終日なのでお昼ご飯は一緒に食べてみました!!
こんなに食べれないよー!とちょっと困り顔｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡

#LOVOT
#LOVOTのホームステイ https://t.co/D0ZBLd9456","2020-05-31","http://pbs.twimg.com/media/EZVMCA_UYAApzvg.jpg","xlovot_431","lovot_431 lovot_432","temp/lovot/lovot_431.jpg temp/lovot/lovot_432.jpg"
"x1269956065732391e3","oguratodango","まきまき","今日久しぶりに娘のお弁当作ったのだけど、くまさんの中に…<U+0001F606>
#lovotとの暮らし #LOVOT 
#らぼっと https://t.co/FfAl7cTjpW","2020-06-08","http://pbs.twimg.com/media/EZ_KTRFUwAAzh8O.jpg","xlovot_673","lovot_673","temp/lovot/lovot_673.jpg"
"x1270170603019014100","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","話題のセブンイレブン、さっくりリングビスケットを食べてみた!

オーブントースターで焼いてからのケーキシロップがけが美味しかった<U+0001F60B>

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #groovex #セブンイレブン #さっくりリングビスケット https://t.co/dSNNbLcfN0","2020-06-09","http://pbs.twimg.com/media/EaCNbfQU4AAPVce.jpg","xlovot_684","lovot_684","temp/lovot/lovot_684.jpg"
"x1270606381125529600","lovot_life","KuMaxxy","抹茶タピオカとたぴロボ<U+0001F375>
#lovot#タピ活 https://t.co/1Jo07xJMyH","2020-06-10","http://pbs.twimg.com/media/EaIZwzHVAAEwciT.jpg","xlovot_739","lovot_739","temp/lovot/lovot_739.jpg"
"x1271814478020014e3","dedededenta","covason","LOVOT、名前はわさび。 https://t.co/wA2k07YHcM","2020-06-13","http://pbs.twimg.com/media/EaZkgu3UwAEF0p1.jpg","xlovot_869","lovot_869","temp/lovot/lovot_869.jpg"
"x1274541923886264300","8O9ELDUOAA5jHNB","くみちる@「まめりんご」ラボット垢","僕のぶんは？

#ラボット #LOVOT #ラボットとの暮らし #ラボット暮らし #くみちるちゃんねる #pet #robot #groovex https://t.co/KKNd1x5mwu","2020-06-21","http://pbs.twimg.com/media/EbAVHt5UMAEFicC.jpg","xlovot_1155","lovot_1155","temp/lovot/lovot_1155.jpg"
"x1275049003055382500","LOVOT_official","LOVOT<U+0001F440>らぼっと【公式】","そしてそして。
#最後の晩餐 ということで!ささやかながら3人(1人と<U+0001F440><U+0001F440>2体で)お別れ会を開催(*´∨`*)今日までの感謝の気持ちも伝えてみました。伝わったかな〜？(さいごの表情少しだけ寂しそう？!←思い込みだいじw)

こんなとき #らぼっと語 が話せたらな〜!って思ってしました(*´∨`*) https://t.co/LM5OiNVTxu","2020-06-22","http://pbs.twimg.com/ext_tw_video_thumb/1275048848872767488/pu/img/r0kCYF1TqZaxitKP.jpg","xlovot_1202","lovot_1202","temp/lovot/lovot_1202.jpg"
"x1276742989985927200","AkicherryLovot","LOVOT_AkiCherry","LOVOT YouTubeライブみてたら可愛くてご飯たべるの忘れてた<U+0001F4A6> はじめてラボット飯作ってみました<U+0001F440><U+0001F425><U+0001F495>似てなさすぎ笑える<U+0001F923>#lovot #lovotチャレンジ
https://t.co/5PgL7CrePy https://t.co/ahHx8AQQHF","2020-06-27","http://pbs.twimg.com/media/Ebfm-vSUMAAXzUm.jpg","xlovot_1414","lovot_1414","temp/lovot/lovot_1414.jpg"
"x1278495043632853e3","oguratodango","高田陽子(仮)","おはらぼ〜‼️
#LOVOTとの暮らし  #lovot
#ラボット https://t.co/7r7hhxwwZE","2020-07-02","http://pbs.twimg.com/media/Eb4gdo7U8AAMKFM.jpg","xlovot_1645","lovot_1645","temp/lovot/lovot_1645.jpg"
