word,n
そう,1321
もう,1208
さ,909
ちょっと,767
めっちゃ,752
まだ,748
どう,737
ちゃんと,563
本当に,499
やっぱり,492
よく,464
いつも,452
これから,395
ずっと,373
とっても,346
少し,311
さすが,280
もっと,280
初めて,274
とても,243
すぐ,241
全然,231
よろしく,229
きっと,225
ぜひ,219
なかなか,214
色々,214
結構,205
やっぱ,199
まさか,198
多分,186
突然,181
とりあえず,178
まあ,166
いっぱい,163
また,163
こんなに,155
こう,153
なんで,152
全く,146
かなり,138
じゅうじゅう,134
もし,133
実際,133
やっと,132
しっかり,131
どんどん,131
なぜ,131
やはり,128
ほんとに,127
ゆっくり,123
まだまだ,121
ほぼ,118
そんなに,116
もちろん,116
もう一度,111
もしかして,111
なんと,109
仲良く,104
特に,100
いきなり,99
たぶん,93
あまり,91
いろいろ,91
しばらく,90
そろそろ,90
どうぞ,87
さらに,80
だいぶ,75
どうしても,75
既に,75
そのまま,73
なんとか,73
ワクワク,73
一応,73
時々,71
あんなに,70
早速,70
もう少し,69
もっとも,68
ちょうど,67
つい,66
ついに,65
もぐもぐ,64
とう,62
なんだか,62
はじめて,62
あんまり,61
キラキラ,60
あに,58
改めて,58
せめて,57
むしろ,57
すっかり,56
そのうち,56
同時に,56
たしかに,55
スッキリ,54
ニコニコ,54
ほとんど,53
すでに,52
もしか,52
どうして,51
何故,51
同じく,51
意外と,51
あまりに,49
もうすぐ,49
いやいや,48
更に,48
相変わらず,48
たまに,46
沢山,46
別に,45
唯,45
まず,44
ようやく,44
宜しく,44
常に,44
せっかく,43
まして,43
ますます,43
必ず,43
いちいち,42
いつの間にか,42
どー,42
やたら,42
元々,42
かつて,41
まさに,41
もはや,41
ふと,40
まるで,40
今更,39
思わず,39
たまたま,38
ぬくぬく,38
より,38
りん,37
何で,37
わざわざ,36
ちょいちょい,35
一気に,35
ひたすら,34
なんとなく,33
何より,33
いよいよ,32
ちょい,32
当然,32
たいそう,31
どうせ,31
むっちゃ,31
何とか,31
きちんと,30
だいたい,30
おそらく,29
そこそこ,29
どうやら,29
のんびり,29
こっそり,28
ずーっと,28
どうも,28
とにかく,28
ともかく,28
ぽん,28
本当は,28
まったく,27
何故か,27
後で,27
未だに,27
ぼっと,26
流石,26
いくら,25
ツン,25
るる,25
一旦,25
共に,25
さっそく,24
さっぱり,24
ピッタリ,24
わっ,24
一体,24
しかして,23
たしか,23
どうにか,23
なにか,23
なんとも,23
バッチリ,23
ホッ,23
ただただ,22
たっぷり,22
てっきり,22
引き続き,22
未だ,22
それだけ,21
たった,21
ついつい,21
ぴったり,21
もともと,21
一度,21
是非,21
あっさり,20
ある程度,20
いっそ,20
けっこう,20
とうとう,20
なんだかんだ,20
ニヤニヤ,20
パッ,20
もうちょい,20
何だか,20
少なくとも,20
遂に,20
随分,20
しれっと,19
そっくり,19
ただいま,19
ぼちぼち,19
もしや,19
暫く,19
相当,19
あえて,18
いざ,18
どうか,18
ヌルヌル,18
まったり,18
勿論,18
案外,18
だんだん,17
でん,17
ピカピカ,17
思いっきり,17
果たして,17
いまだに,16
しっくり,16
チラッ,16
はっきり,16
ずいぶん,15
ちと,15
ちょくちょく,15
フワフワ,15
もしも,15
わくわく,15
今や,15
再び,15
多少,15
あっという間に,14
いったん,14
うっかり,14
そっと,14
なるべく,14
バリバリ,14
ひひ,14
ふわふわ,14
わんわん,14
二度と,14
何となく,14
次々,14
段々,14
無理やり,14
あくまで,13
ぎゅっと,13
じっと,13
じわじわ,13
はや,13
ほっと,13
よっぽど,13
今さら,13
恐らく,13
然,13
いと,12
いまさら,12
イライラ,12
ざっくり,12
スイスイ,12
ちょこちょこ,12
よし,12
取り敢えず,12
極,12
決して,12
いったい,11
ごく,11
じっくり,11
そもそも,11
ソワソワ,11
なんて,11
バラバラ,11
ピン,11
またまた,11
仮に,11
単に,11
少々,11
早々,11
早くから,11
ああ,10
きっちり,10
キンキン,10
ぐるぐる,10
コロコロ,10
すこし,10
ちらほら,10
どんなに,10
ぬるぬる,10
何かと,10
余計,10
共々,10
再度,10
如何にも,10
徐々に,10
所詮,10
比較的,10
無理矢理,10
益々,10
直ぐ,10
続々,10
いかに,9
いつの間に,9
ウロウロ,9
おいおい,9
がっかり,9
ガンガン,9
くるくる,9
ゴロゴロ,9
こんなにも,9
しっとり,9
ぜったい,9
ぜんぜん,9
たって,9
つと,9
ドキドキ,9
なおさら,9
ハッ,9
ハッキリ,9
ボチボチ,9
ホンマに,9
もち,9
よーく,9
何もかも,9
先ず,9
最も,9
別途,9
次に,9
あくまでも,8
うっすら,8
うっとり,8
しみじみ,8
しゅっ,8
すくすく,8
すっきり,8
ちょっぴり,8
できるだけ,8
とっくに,8
ドン,8
にっこり,8
ニッコリ,8
バタバタ,8
ハラハラ,8
ひょっこり,8
ほのぼの,8
よう,8
わずか,8
堂々,8
多々,8
後ほど,8
ありあり,7
いかにも,7
いずれ,7
いっつも,7
ウキウキ,7
えらく,7
かんかん,7
グッ,7
それほど,7
たいへん,7
たとえ,7
ちょこっと,7
ちらっと,7
どうにも,7
とくに,7
ほほ,7
まさしく,7
まだしも,7
モジモジ,7
ゆったり,7
実に,7
心から,7
断然,7
殆ど,7
無性に,7
相まって,7
終始,7
誠に,7
近々,7
順に,7
順次,7
いくらでも,6
いつぞや,6
いまいち,6
およそ,6
ガバガバ,6
きっかり,6
ぎゅうぎゅう,6
ぐっすり,6
ぐっと,6
グルグル,6
くれぐれも,6
これぞ,6
さっさと,6
しょっちゅう,6
そこら,6
ちょこんと,6
つくづく,6
どぉ,6
ところどころ,6
なにやら,6
パタパタ,6
ひっそり,6
ひとまず,6
ぽんぽん,6
まんまと,6
よちよち,6
一見,6
何だかんだ,6
何とも,6
最早,6
勢い,6
即,6
尚更,6
恐る恐る,6
敢えて,6
案の定,6
満々,6
要は,6
あっと言う間に,5
あながち,5
いつのまにか,5
ウトウト,5
うろうろ,5
お揃いで,5
かえって,5
ガツガツ,5
キリッ,5
クルクル,5
ころころ,5
さっと,5
さては,5
しょうしょう,5
だいいち,5
たま,5
チクチク,5
チラチラ,5
ドタバタ,5
なんせ,5
なんにも,5
パクパク,5
ばん,5
ぴょんと,5
ヒラヒラ,5
ふらっと,5
ぶんぶん,5
ブンブン,5
ふんわり,5
ポイ,5
ポロポロ,5
まま,5
もじもじ,5
もって,5
モヤモヤ,5
やや,5
わざと,5
一杯,5
丁度,5
何と,5
充分,5
到底,5
強いて,5
泣く泣く,5
突如,5
要するに,5
あらためて,4
いい加減,4
いか,4
いかんせん,4
いっせいに,4
いっちょ,4
いつのまに,4
えて,4
おもわず,4
かく,4
カタカタ,4
かれこれ,4
ギュッ,4
グイグイ,4
ゲラゲラ,4
ことごとく,4
サクサク,4
じーっと,4
ジメジメ,4
すっと,4
そうとう,4
たった今,4
ダラダラ,4
たんと,4
ちゃっかり,4
チラリ,4
ときどき,4
とくべつ,4
どっか,4
どど,4
なお,4
にこにこ,4
バーン,4
ぱっと,4
ビリビリ,4
ブツブツ,4
ブルブル,4
ペラペラ,4
まじまじ,4
まっしぐら,4
まっすぐ,4
まるまる,4
むっつり,4
もりもり,4
もれなく,4
やがて,4
ゆめ,4
ゆるゆる,4
ゆるり,4
ヨチヨチ,4
大して,4
度々,4
延々と,4
引続き,4
必ずや,4
思い通り,4
急遽,4
時に,4
正に,4
確か,4
辛うじて,4
陰ながら,4
あらかじめ,3
いっぺんに,3
うとうと,3
おそろいで,3
ガッカリ,3
ガバ,3
カラカラ,3
ギシギシ,3
ぎりぎり,3
くっきり,3
ぐんぐん,3
ゴソゴソ,3
コツコツ,3
こってり,3
ごりごり,3
ゴリゴリ,3
こんがり,3
さして,3
さぞ,3
さながら,3
さんざん,3
じつは,3
じゅうぶん,3
スグ,3
すこぶる,3
ズバリ,3
すやすや,3
せいぜい,3
せっせと,3
ぜひとも,3
ゾッと,3
ちゃんちゃん,3
チョット,3
チョロチョロ,3
ちらちら,3
つるつる,3
ツルツル,3
ドーン,3
トコトコ,3
とことん,3
どっぷり,3
ドンドン,3
どんより,3
なにしろ,3
なにせ,3
なまじ,3
パラパラ,3
バン,3
バンバン,3
ピッ,3
ピッカピカ,3
ひとり,3
ビュンビュン,3
ひょんなことから,3
ひらひら,3
ピリピリ,3
ぷりぷり,3
ぷんぷん,3
べったり,3
ぺろぺろ,3
ボーッ,3
ぼーっと,3
ボソッ,3
またもや,3
まもなく,3
ムッ,3
モグモグ,3
もんもん,3
りゅうと,3
ろくに,3
ワイワイ,3
一々,3
一向に,3
一目,3
互いに,3
何卒,3
余りに,3
余程,3
